_step,train/perplexity,_runtime,mfu,lr,val/loss,train/loss,tokens,val/perplexity,iter,_timestamp,n_params,use_cosine_sched,init_from,wandb_project,log_interval,pos_enc_type,n_params_wo_embedding,beta1,out_dir,eval_interval,device,d_model,dropout_rate,decay_lr,max_iters,norm_first,datetime_now,weight_decay,wandb_run_name,symmetric_rels,always_save_checkpoint,model_name,compile,max_seq_len,grad_clip,bias,batch_size,warmup_iters,dtype,sa,activation,rca,eval_only,n_layers,gradient_accumulation_steps,vocab_source,symbol_type,sym_attn_n_symbols,wandb_log,trainable_symbols,vocab_size,rca_type,learning_rate,eval_iters,beta2,group,name,Generated Samples
22000,5.876112461090088,4191.582537412643,7.437114584859842,0.001,1.7709728479385376,1.7706609964370728,2883584000.0,5.877962589263916,22000,1715795068.1764765,4583616,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,455616,0.9,out/sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,2000,cuda,64,0.1,True,100000,True,2024_05_15_12_34_33,0.1,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,False,False,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,4,swiglu,4,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,
24000,5.825379848480225,4570.8261387348175,7.435605065915352,0.001,1.7619853019714355,1.761988878250122,3145728000.0,5.825377941131592,24000,1715795447.4200778,4583616,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,455616,0.9,out/sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,2000,cuda,64,0.1,True,100000,True,2024_05_15_12_34_33,0.1,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,False,False,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,4,swiglu,4,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,
26000,5.7833757400512695,4950.126811027527,7.440832820453471,0.001,1.7549134492874146,1.7547521591186523,3407872000.0,5.784312725067139,26000,1715795826.72075,4583616,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,455616,0.9,out/sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,2000,cuda,64,0.1,True,100000,True,2024_05_15_12_34_33,0.1,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,False,False,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,4,swiglu,4,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=4; rca=4; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_12_34_33,
0,39092.0625,18.967681646347046,-100.0,0.001,10.573446273803711,10.573680877685547,0.0,39082.88671875,0,1715782005.0653145,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
2000,8.552637100219727,339.9469347000122,8.336588700193984,0.001,2.1475918292999268,2.145968437194824,262144000.0,8.566544532775879,2000,1715782326.0445676,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
4000,7.361022472381592,661.0801301002502,8.33664417988978,0.001,1.996486783027649,1.9959388971328735,524288000.0,7.365077972412109,4000,1715782647.177763,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
6000,6.890941619873047,982.2965364456177,8.332459912574661,0.001,1.9303193092346191,1.9299583435058594,786432000.0,6.893523693084717,6000,1715782968.3941693,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
8000,6.607637882232666,1303.207331418991,8.352630729424792,0.001,1.8879806995391846,1.8879737854003906,1048576000.0,6.607705116271973,8000,1715783289.3049643,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
10000,6.4177069664001465,1624.359694480896,8.338873057166785,0.001,1.8585188388824463,1.8588156700134277,1310720000.0,6.415899276733398,10000,1715783610.4573274,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
12000,6.278265953063965,1945.5248954296112,8.335452594876495,0.001,1.836452603340149,1.8368507623672485,1572864000.0,6.275824069976807,12000,1715783931.6225283,4586688,False,scratch,abstract_transformer--tiny_stories-LM,1,RoPE,458688,0.9,out/sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,2000,cuda,64,0.1,True,100000,True,2024_05_15_10_06_22,0.1,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,False,False,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE,False,512,1,False,128,1000,bfloat16,6,swiglu,2,False,6,2,llama2,sym_attn,512,True,True,32000,standard,0.001,100,0.95,,sa=6; rca=2; d=64; L=6; rca_type=standard; sym_rel=False; symbol_type=sym_attn; pos_enc_type=RoPE__2024_05_15_10_06_22,
