,interpolate_loss,interpolate_teacher_forcing_acc,interpolate_perplexity,train_loss,epoch,_timestamp,extrapolate_loss,trainer/global_step,extrapolate_perplexity,_runtime,_step,train_teacher_forcing_acc,extrapolate_teacher_forcing_acc,symbol_retrieval,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,encoder_kwargs,decoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval_kwargs,name
18,,,,0.4903178811073303,15,1723872275.5268493,,62495,,5281.726434230804,18,0.8078057169914246,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
19,,,,0.48113128542900085,16,1723872594.043367,,66401,,5600.242951869965,19,0.8113879561424255,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
20,,,,0.4730701148509979,17,1723872912.5633395,,70307,,5918.7629244327545,20,0.814507782459259,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
21,,,,0.46702778339385986,18,1723873231.085529,,74213,,6237.2851140499115,21,0.8166976571083069,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
22,0.9106075763702393,0.6638990640640259,2.4866390228271484,,19,1723873608.9273849,0.9106075763702393,78119,2.4866390228271484,6615.1269698143005,22,,0.6638990640640259,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
23,,,,0.460249662399292,19,1723873608.9291193,,78119,,6615.1287043094635,23,0.819204568862915,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
24,,,,0.45315155386924744,20,1723873927.6210656,,82025,,6933.820650577545,24,0.8219136595726013,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
25,,,,0.44645851850509644,21,1723874246.5217557,,85931,,7252.7213406562805,25,0.8246281743049622,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
26,,,,0.4399072229862213,22,1723874565.33734,,89837,,7571.536925077438,26,0.8269215822219849,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
27,,,,0.432232141494751,23,1723874884.1389637,,93743,,7890.338548660278,27,0.8295834064483643,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
28,0.7966421842575073,0.7007171511650085,2.2187540531158447,,24,1723875262.2478774,0.7966421842575073,97649,2.2187540531158447,8268.447462320328,28,,0.7007171511650085,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
29,,,,0.4241640865802765,24,1723875262.2496498,,97649,,8268.449234724045,29,0.832577645778656,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
30,,,,0.4144594073295593,25,1723875581.0980566,,101555,,8587.297641515732,30,0.8360321521759033,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
31,,,,0.40450844168663025,26,1723875899.9515467,,105461,,8906.151131629944,31,0.8398323655128479,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
32,,,,0.3954455852508545,27,1723876218.8115556,,109367,,9225.011140584946,32,0.8431676626205444,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
33,,,,0.3861551284790039,28,1723876537.5284345,,113273,,9543.728019475937,33,0.8468661904335022,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
34,0.7308869957923889,0.7212851643562317,2.0775108337402344,,29,1723876915.5033238,0.7308869957923889,117179,2.0775108337402344,9921.702908754349,34,,0.7212851643562317,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
35,,,,0.3770451843738556,29,1723876915.5052712,,117179,,9921.704856157303,35,0.850299060344696,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
36,,,,0.36786478757858276,30,1723877234.1560194,,121085,,10240.355604410172,36,0.853845477104187,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
37,,,,0.3567298650741577,31,1723877553.0153139,,124991,,10559.214898824692,37,0.8582507967948914,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
38,,,,0.3441624641418457,32,1723877871.7591643,,128897,,10877.958749294281,38,0.863294780254364,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
39,,,,0.3309028148651123,33,1723878190.3657975,,132803,,11196.565382480621,39,0.8689578771591187,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
40,0.6894369721412659,0.7404038906097412,1.9932422637939453,,34,1723878568.37663,0.6894369721412659,136709,1.9932422637939453,11574.576215028763,40,,0.7404038906097412,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
41,,,,0.3203475773334503,34,1723878568.3784268,,136709,,11574.578011751175,41,0.8727404475212097,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
42,,,,0.3147638440132141,35,1723878887.3119392,,140615,,11893.51152420044,42,0.8746863007545471,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
43,,,,0.30922573804855347,36,1723879206.262255,,144521,,12212.461839914322,43,0.876815140247345,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
44,,,,0.30472099781036377,37,1723879525.0954926,,148427,,12531.295077562332,44,0.8784842491149902,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
45,,,,0.2989015579223633,38,1723879843.721064,,152333,,12849.920649051666,45,0.880428671836853,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
46,0.7704047560691833,0.7180180549621582,2.1614646911621094,,39,1723880221.5596232,0.7704047560691833,156239,2.1614646911621094,13227.759208202362,46,,0.7180180549621582,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
47,,,,0.2949795126914978,39,1723880221.561402,,156239,,13227.76098704338,47,0.8819182515144348,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
48,,,,0.29397347569465637,40,1723880540.2689023,,160145,,13546.468487262726,48,0.8825450539588928,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
49,,,,0.2870866060256958,41,1723880859.0870855,,164051,,13865.286670446396,49,0.8847602009773254,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
50,,,,0.28414034843444824,42,1723881177.9588437,,167957,,14184.158428668976,50,0.8860253691673279,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
51,,,,0.27959370613098145,43,1723881496.694061,,171863,,14502.893646001816,51,0.8876942992210388,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
52,0.7262094616889954,0.7346706390380859,2.067943572998047,,44,1723881874.7447534,0.7262094616889954,175769,2.067943572998047,14880.944338321686,52,,0.7346706390380859,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
53,,,,0.2767122983932495,44,1723881874.7465637,,175769,,14880.946148633957,53,0.8886817693710327,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
54,,,,0.27337923645973206,45,1723882193.5795283,,179675,,15199.779113292694,54,0.8898983001708984,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
55,,,,0.2707313597202301,46,1723882512.367879,,183581,,15518.567463874817,55,0.8909912109375,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
56,,,,0.27328407764434814,47,1723882831.200401,,187487,,15837.399986028671,56,0.8904758095741272,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
57,,,,0.26564517617225647,48,1723883150.1036355,,191393,,16156.303220510483,57,0.8930545449256897,,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
58,0.8544902205467224,0.7197637557983398,2.3516921997070312,,49,1723883528.2596588,0.8544902205467224,195299,2.3516921997070312,16534.459243774414,58,,0.7197637557983398,position_relative,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,,giddy-bee-46
