,extrapolate_teacher_forcing_acc,epoch,extrapolate_loss,interpolate_loss,train_teacher_forcing_acc,_step,_timestamp,train_loss,trainer/global_step,extrapolate_perplexity,_runtime,interpolate_teacher_forcing_acc,interpolate_perplexity,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
2339,,79,,,0.8105551600456238,95,1715100052.1260483,0.5291191935539246,312479,,25813.831065416336,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2340,,80,,,0.8107943534851074,96,1715100361.8168287,0.5285207033157349,316385,,26123.521845817566,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2341,,81,,,0.8109533786773682,97,1715100671.4245317,0.5280697345733643,320291,,26433.12954878807,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2342,,82,,,0.8110058307647705,98,1715100981.0420518,0.5276973247528076,324197,,26742.74706888199,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2343,,83,,,0.8113018870353699,99,1715101290.682035,0.5269947648048401,328103,,27052.387052059174,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2344,0.775977373123169,84,0.6206201314926147,0.6206201314926147,,100,1715101665.067922,,332009,1.860247254371643,27426.77293920517,0.775977373123169,1.860247254371643,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2345,,84,,,0.8114446401596069,101,1715101665.0699968,0.5263696312904358,332009,,27426.775013923645,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2346,,85,,,0.8116964101791382,102,1715101974.6547968,0.5257197618484497,335915,,27736.359813928604,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2347,,86,,,0.8117295503616333,103,1715102284.3375793,0.525219738483429,339821,,28046.04259634018,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2348,,87,,,0.8119739890098572,104,1715102594.0068607,0.5246846675872803,343727,,28355.711877822876,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2349,,88,,,0.8121482133865356,105,1715102903.6049004,0.5240410566329956,347633,,28665.30991744995,,,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
2350,0.7773123979568481,89,0.6157057881355286,0.6157057881355286,,106,1715103278.0157347,,351539,1.8511279821395874,29039.72075176239,0.7773123979568481,1.8511279821395874,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",trim-wave-63
