group,name,_wandb.runtime,interpolate_perplexity,epoch,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,_step,train_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,trainer/global_step,_timestamp,interpolate_loss,train_loss,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,encoder_kwargs,decoder_kwargs,task,_wandb
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=3; dl=3,divine-meadow-36,26408.0,1.8769527673721311,99.0,0.7682971358299255,0.7682971358299255,119.0,0.9210849404335022,0.629316508769989,1.8769527673721311,390599.0,1723804191.445067,0.629316508769989,0.19330483675003052,26409.055150032043,128,3,3,position_relative,"{'dropout_rate': 0.1, 'activation': 'relu', 'n_heads_sa': 4, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'n_heads_ra': 4, 'dff': 256, 'causal': False, 'ra_type': 'relational_attention', 'norm_first': False}","{'dropout_rate': 0.1, 'n_heads_cross': 8, 'dff': 256, 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'causal': True, 'n_heads_sa': 4, 'n_heads_ra': 4, 'activation': 'relu', 'norm_first': False}",algebra__linear_1,
enc_sa=4; enc_ra=4; dec_sa=4; dec_ra=4; d_cross=8; d=128; el=3; dl=3,copper-feather-35,,1.5724520683288574,91.0,0.812777042388916,0.812777042388916,109.0,0.8949720859527588,0.45246097445487976,1.5724520683288574,359351.0,1723862940.6076446,0.45246097445487976,0.258846640586853,85906.4073984623,128,3,3,position_relative,"{'n_heads_ra': 4, 'n_heads_sa': 4, 'dropout_rate': 0.1, 'activation': 'relu', 'causal': False, 'norm_first': False, 'ra_type': 'relational_attention', 'ra_kwargs': {'use_relative_positional_symbols': True}, 'dff': 256}","{'dff': 256, 'ra_type': 'relational_attention', 'dropout_rate': 0.1, 'causal': True, 'n_heads_cross': 8, 'norm_first': False, 'ra_kwargs': {'use_relative_positional_symbols': True}, 'activation': 'relu', 'n_heads_ra': 4, 'n_heads_sa': 4}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,avid-cosmos-34,25791.0,7.459346771240234,99.0,0.5071146488189697,0.5071146488189697,119.0,0.9292714595794678,2.007805824279785,7.459346771240234,390599.0,1723780082.5307798,2.007805824279785,0.17707201838493347,25790.25386595726,144,4,4,,"{'activation': 'relu', 'norm_first': False, 'dff': 288, 'dropout_rate': 0.1, 'causal': False, 'n_heads': 8}","{'causal': True, 'n_heads': 8, 'activation': 'relu', 'dff': 288, 'dropout_rate': 0.1, 'n_heads_cross': 8, 'norm_first': False}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,azure-durian-33,25877.0,6.811884880065918,99.0,0.5588093996047974,0.5588093996047974,119.0,0.9234429597854614,1.9169018268585205,6.811884880065918,390599.0,1723777724.2611132,1.9169018268585205,0.18986473977565765,25877.19678425789,144,4,4,,"{'causal': False, 'activation': 'relu', 'dropout_rate': 0.1, 'norm_first': False, 'dff': 288, 'n_heads': 8}","{'n_heads': 8, 'norm_first': False, 'dropout_rate': 0.1, 'causal': True, 'dff': 288, 'activation': 'relu', 'n_heads_cross': 8}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,ethereal-haze-32,25873.0,5.8067626953125,99.0,0.5670798420906067,0.5670798420906067,119.0,0.9051722288131714,1.7574318647384644,5.8067626953125,390599.0,1723777669.669274,1.7574318647384644,0.23722119629383087,25873.139912843704,144,4,4,,"{'activation': 'relu', 'dropout_rate': 0.1, 'norm_first': False, 'n_heads': 8, 'dff': 288, 'causal': False}","{'n_heads': 8, 'activation': 'relu', 'dropout_rate': 0.1, 'n_heads_cross': 8, 'causal': True, 'norm_first': False, 'dff': 288}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,frosty-frost-31,46715.0,11.012019157409668,99.0,0.517754077911377,0.517754077911377,119.0,0.9200682044029236,2.39611554145813,11.012019157409668,390599.0,1723776961.6123962,2.39611554145813,0.1984000653028488,46715.49015831947,144,3,3,,"{'dff': 288, 'activation': 'relu', 'norm_first': False, 'dropout_rate': 0.1, 'causal': False, 'n_heads': 8}","{'norm_first': False, 'dff': 288, 'n_heads_cross': 8, 'causal': True, 'dropout_rate': 0.1, 'n_heads': 8, 'activation': 'relu'}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,fancy-shadow-30,46576.0,4.30748987197876,99.0,0.6300472021102905,0.6300472021102905,119.0,0.9268072247505188,1.458927869796753,4.30748987197876,390599.0,1723776719.4729924,1.458927869796753,0.18445970118045807,46576.91924452782,144,3,3,,"{'n_heads': 8, 'activation': 'relu', 'causal': False, 'dff': 288, 'dropout_rate': 0.1, 'norm_first': False}","{'n_heads_cross': 8, 'dff': 288, 'n_heads': 8, 'causal': True, 'dropout_rate': 0.1, 'activation': 'relu', 'norm_first': False}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,rosy-meadow-29,64856.0,4.9471354484558105,99.0,0.6177302598953247,0.6177302598953247,119.0,0.9089990258216858,1.5971918106079102,4.9471354484558105,390599.0,1723794889.9656608,1.5971918106079102,0.2286134511232376,64856.684198856354,144,3,3,,"{'activation': 'relu', 'norm_first': False, 'dropout_rate': 0.1, 'n_heads': 8, 'causal': False, 'dff': 288}","{'dropout_rate': 0.1, 'dff': 288, 'n_heads': 8, 'n_heads_cross': 8, 'activation': 'relu', 'norm_first': False, 'causal': True}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,copper-breeze-28,84981.0,12.417478561401367,99.0,0.51579350233078,0.51579350233078,119.0,0.928025722503662,2.516278028488159,12.417478561401367,390599.0,1723768449.626022,2.516278028488159,0.181862935423851,84981.7459487915,144,4,4,,"{'dff': 288, 'norm_first': False, 'dropout_rate': 0.1, 'n_heads': 8, 'activation': 'relu', 'causal': False}","{'activation': 'relu', 'norm_first': False, 'dropout_rate': 0.1, 'dff': 288, 'causal': True, 'n_heads_cross': 8, 'n_heads': 8}",algebra__linear_1,
enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=3; dl=3,lively-paper-25,19597.0,4.734807968139648,99.0,0.5989168286323547,0.5989168286323547,119.0,0.9176693558692932,1.5536448955535889,4.734807968139648,390599.0,1723703063.5324,1.5536448955535889,0.2086916416883469,19597.44411802292,144,3,3,,"{'norm_first': False, 'activation': 'relu', 'dff': 288, 'n_heads': 8, 'dropout_rate': 0.1, 'causal': False}","{'dropout_rate': 0.1, 'dff': 288, 'activation': 'relu', 'n_heads': 8, 'n_heads_cross': 8, 'causal': True, 'norm_first': False}",algebra__linear_1,
