,train_teacher_forcing_acc,train_loss,interpolate_loss,trainer/global_step,interpolate_perplexity,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_teacher_forcing_acc,epoch,extrapolate_teacher_forcing_acc,_timestamp,_step,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
18,0.874457061290741,0.24657663702964783,,62495,,5267.3700735569,,,,15,,1723874040.6282506,18,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
19,0.8752169013023376,0.2441316395998001,,66401,,5585.114454030991,,,,16,,1723874358.372631,19,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
20,0.8759158253669739,0.2419561892747879,,70307,,5902.952661275864,,,,17,,1723874676.2108383,20,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
21,0.876568078994751,0.2396339774131775,,74213,,6220.933400154114,,,,18,,1723874994.1915772,21,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
22,,,0.2615549564361572,78119,1.2989977598190308,6597.905743122101,0.2615549564361572,1.2989977598190308,0.8722059726715088,19,0.8722059726715088,1723875371.1639202,22,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
23,0.8773990869522095,0.23741845786571503,,78119,,6597.90753364563,,,,19,,1723875371.1657107,23,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
24,0.8780555725097656,0.23500123620033264,,82025,,6915.648646593094,,,,20,,1723875688.9068236,24,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
25,0.878786563873291,0.23282302916049957,,85931,,7233.428751707077,,,,21,,1723876006.6869287,25,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
26,0.8793641924858093,0.2309616506099701,,89837,,7551.22475528717,,,,22,,1723876324.4829323,26,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
27,0.8798033595085144,0.22939978539943695,,93743,,7869.060614824295,,,,23,,1723876642.3187919,27,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
