,train_teacher_forcing_acc,trainer/global_step,epoch,extrapolate_teacher_forcing_acc,train_loss,extrapolate_loss,_step,_runtime,interpolate_teacher_forcing_acc,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
18,0.9437162280082703,62495,15,,0.14923609793186188,,18,18730.997281074524,,,,1723916769.094388,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
19,0.9475918412208557,66401,16,,0.1390141397714615,,19,19866.27635216713,,,,1723917904.373459,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
20,0.9509134888648987,70307,17,,0.13080453872680664,,20,21001.398903131485,,,,1723919039.49601,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
21,0.9534964561462402,74213,18,,0.12450645864009857,,21,22136.591866731644,,,,1723920174.6889737,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
22,,78119,19,0.9687817692756653,,0.08707676082849503,22,23458.064991235733,0.9687817692756653,1.0910277366638184,1.0910277366638184,1723921496.1620982,0.08707676082849503,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
23,0.9556227326393127,78119,19,,0.11883047968149185,,23,23458.067353725433,,,,1723921496.1644607,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
24,0.9570772051811218,82025,20,,0.11490756273269653,,24,24593.25525689125,,,,1723922631.3523638,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
25,0.9588466882705688,85931,21,,0.11010473221540451,,25,25729.119099378586,,,,1723923767.2162063,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
26,0.9602200388908386,89837,22,,0.10684642940759659,,26,26864.89620089531,,,,1723924902.9933078,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
27,0.96156245470047,93743,23,,0.10303235054016113,,27,28000.430269002914,,,,1723926038.527376,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
28,,97649,24,0.9718956351280212,,0.07885254919528961,28,29322.561349868774,0.9718956351280212,1.082092046737671,1.082092046737671,1723927360.6584568,0.07885254919528961,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
29,0.9627189040184021,97649,24,,0.10014593601226807,,29,29322.563679218292,,,,1723927360.6607862,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
30,0.9638833999633789,101555,25,,0.09724729508161545,,30,30458.17543888092,,,,1723928496.2725458,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
31,0.9646047353744507,105461,26,,0.09537744522094727,,31,31593.92118859291,,,,1723929632.0182955,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
32,0.9656297564506531,109367,27,,0.09279023855924606,,32,32729.776589393616,,,,1723930767.8736963,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
33,0.9663075804710388,113273,28,,0.09083159267902374,,33,33865.39157176018,,,,1723931903.4886787,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
34,,117179,29,0.974823534488678,,0.07089748233556747,34,35187.4822704792,0.974823534488678,1.0735100507736206,1.0735100507736206,1723933225.5793774,0.07089748233556747,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
35,0.9671537280082703,117179,29,,0.08848407864570618,,35,35187.48462152481,,,,1723933225.5817285,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
36,0.9676865339279175,121085,30,,0.08709041774272919,,36,36323.01973104477,,,,1723934361.116838,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
37,0.968517005443573,124991,31,,0.08483632653951645,,37,37458.79816365242,,,,1723935496.8952706,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
38,0.9690137505531311,128897,32,,0.08361483365297318,,38,38594.66302704811,,,,1723936632.760134,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
39,0.9695284962654114,132803,33,,0.08231207728385925,,39,39730.23994421959,,,,1723937768.3370512,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
40,,136709,34,0.9758121967315674,,0.06974293291568756,40,41052.432575941086,0.9758121967315674,1.072277307510376,1.072277307510376,1723939090.5296829,0.06974293291568756,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
41,0.9700547456741333,136709,34,,0.08088774234056473,,41,41052.44896197319,,,,1723939090.546069,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
42,0.9704879522323608,140615,35,,0.07977411150932312,,42,42188.07024240494,,,,1723940226.1673493,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
43,0.9709556698799133,144521,36,,0.07833120971918106,,43,43323.762254714966,,,,1723941361.8593616,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
44,0.9714462757110596,148427,37,,0.07716333866119385,,44,44459.34792661667,,,,1723942497.4450336,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
45,0.971732497215271,152333,38,,0.07625588774681091,,45,45594.99220967293,,,,1723943633.0893166,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
46,,156239,39,0.9759649634361267,,0.06630941480398178,46,46917.33259797096,0.9759649634361267,1.0685920715332031,1.0685920715332031,1723944955.429705,0.06630941480398178,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
47,0.972162127494812,156239,39,,0.07519344240427017,,47,46917.33496141434,,,,1723944955.4320683,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
48,0.9726391434669495,160145,40,,0.07388337701559067,,48,48053.12921500206,,,,1723946091.226322,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,silvery-shape-46
