,_step,_timestamp,trainer/global_step,interpolate_perplexity,train_loss,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,interpolate_loss,extrapolate_loss,extrapolate_perplexity,train_teacher_forcing_acc,epoch,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
1036,109,1715222709.9568434,359351,,0.2251383513212204,,,,,,0.9215342402458191,91,28549.31584739685,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1037,110,1715223008.0936487,363257,,0.22471964359283447,,,,,,0.9216179847717285,92,28847.452652692795,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1038,111,1715223306.146341,367163,,0.22410663962364197,,,,,,0.9218891859054565,93,29145.505345106125,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1039,112,1715223666.198799,371069,1.266465663909912,,0.9219813346862793,0.9219813346862793,0.23608259856700897,0.23608259856700897,1.266465663909912,,94,29505.557802915573,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1040,113,1715223666.2008746,371069,,0.2238696813583374,,,,,,0.9220237135887146,94,29505.559878587723,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1041,114,1715223964.3024116,374975,,0.2234531193971634,,,,,,0.9222447872161865,95,29803.661415576935,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1042,115,1715224262.3837554,378881,,0.22330442070960999,,,,,,0.9222582578659058,96,30101.74275946617,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1043,116,1715224560.4240777,382787,,0.22318404912948608,,,,,,0.9223372340202332,97,30399.783081769943,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1044,117,1715224858.5039055,386693,,0.2227121740579605,,,,,,0.9225601553916931,98,30697.862909555435,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1045,118,1715225218.568313,390599,1.261838436126709,,0.9232600331306458,0.9232600331306458,0.2324286550283432,0.2324286550283432,1.261838436126709,,99,31057.927316904068,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1046,119,1715225218.570334,390599,,0.22170785069465637,,,,,,0.9227868318557739,99,31057.929337978363,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
1047,0,1715183100.1906297,3905,,1.2884083986282349,,,,,,0.530036449432373,0,971.3051977157593,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1048,1,1715184063.777132,7811,,0.7595590353012085,,,,,,0.7276573777198792,1,1934.8917000293732,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1049,2,1715185027.2501433,11717,,0.6436582207679749,,,,,,0.77443927526474,2,2898.3647112846375,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1050,3,1715185990.7711806,15623,,0.5914731025695801,,,,,,0.791088879108429,3,3861.8857486248016,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1051,4,1715187190.4824398,19529,1.7542492151260376,,0.8014112114906311,0.8014112114906311,0.5617884993553162,0.5617884993553162,1.7542492151260376,,4,5061.597007751465,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1052,5,1715187190.4852872,19529,,0.56405109167099,,,,,,0.7994902729988098,4,5061.599855184555,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1053,6,1715188153.9607463,23435,,0.5429250001907349,,,,,,0.8063360452651978,5,6025.075314283371,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1054,7,1715189117.4522946,27341,,0.5265488028526306,,,,,,0.8119090795516968,6,6988.56686258316,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
1055,8,1715190080.9503613,31247,,0.5142416954040527,,,,,,0.8165290355682373,7,7952.0649292469025,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",vague-microwave-73
