name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,test/loss_in_distribution,_wandb,_step,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,sa_kwargs,d_model,image_shape,ra_type,n_layers,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,ra_kwargs,dropout_rate,baseline_model,train_size,model_config,symbol_retrieval,group,n_heads_ra,model_name
same__abstractor_train_size=2000__2024_08_05_00_00_24,0.9508500099182128,52.93261384963989,0.3972855806350708,1722830477.276871,0.27871423959732056,{'runtime': 51},0.0,0.910700023174286,0.7865596413612366,0.965499997138977,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,2000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
occurs__abstractor_train_size=250__2024_08_05_00_00_22,0.5140500068664551,57.17931795120239,7.852032661437988,1722830481.2588649,7.088561058044434,{'runtime': 57},0.0,0.5366500020027161,8.78596019744873,0.5267999768257141,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
occurs__corelnet_train_size=500__2024_08_04_23_59_59,0.7711499929428101,34.80120086669922,2.8676013946533203,1722830434.2465048,2.422532796859741,{'runtime': 33},0.0,0.7111499905586243,3.430257797241211,0.8034999966621399,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
occurs__predinet_train_size=750__2024_08_04_23_59_57,0.6427500247955322,37.33798408508301,1.8535232543945312,1722830434.5377162,1.718168020248413,{'runtime': 36},0.0,0.5924500226974487,2.627786874771118,0.6680999994277954,,,,,,occurs,,,,,,376690,,,,,5000,,,predinet,750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,occurs__predinet,,predinet
same__abstractor_train_size=1750__2024_08_04_23_59_37,0.9581000208854676,42.71082949638367,0.24739807844161987,1722830420.2252624,0.18257081508636477,{'runtime': 41},0.0,0.9418500065803528,0.38979974389076233,0.9686999917030334,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__corelnet_train_size=2500__2024_08_04_23_59_36,0.9381499886512756,26.94762349128723,0.4323192834854126,1722830403.9562583,0.23744702339172363,{'runtime': 25},0.0,0.9141499996185304,0.4314500391483307,0.963599979877472,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,2500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
occurs__corelnet_train_size=250__2024_08_04_23_59_17,0.6638500094413757,37.1141722202301,4.218716621398926,1722830395.6643472,3.6089277267456055,{'runtime': 36},0.0,0.5914999842643738,6.42555046081543,0.689300000667572,,,,,,occurs,,,,,,215522,,,,,5000,,,corelnet,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,occurs__corelnet,,corelnet
occurs__predinet_train_size=500__2024_08_04_23_59_17,0.5807999968528748,36.07994103431702,2.2269129753112793,1722830393.7968671,2.352677822113037,{'runtime': 35},0.0,0.5181499719619751,4.30471658706665,0.5733000040054321,,,,,,occurs,,,,,,376690,,,,,5000,,,predinet,500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,occurs__predinet,,predinet
same__corelnet_train_size=2250__2024_08_04_23_59_06,0.9409499764442444,27.232068300247192,0.3851879239082336,1722830373.4657314,0.29096001386642456,{'runtime': 26},0.0,0.961549997329712,0.17116381227970123,0.9520999789237976,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,2250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__abstractor_train_size=1500__2024_08_04_23_58_50,0.9521999955177308,43.01057434082031,0.2501882314682007,1722830373.8656733,0.20553161203861237,{'runtime': 42},0.0,0.9495499730110168,0.2459765821695328,0.9624000191688538,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,1500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__corelnet_train_size=2000__2024_08_04_23_58_33,0.9527000188827516,28.53123378753662,0.3589465022087097,1722830342.060424,0.2838844358921051,{'runtime': 27},0.0,0.960099995136261,0.24684204161167145,0.9629999995231628,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,2000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
occurs__predinet_train_size=250__2024_08_04_23_58_31,0.5545499920845032,40.41051912307739,2.9182651042938232,1722830353.0673602,2.5159075260162354,{'runtime': 40},0.0,0.5130500197410583,4.502321720123291,0.5742999911308289,,,,,,occurs,,,,,,376690,,,,,5000,,,predinet,250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,occurs__predinet,,predinet
same__abstractor_train_size=1250__2024_08_04_23_58_05,0.9485999941825868,41.061399936676025,0.19052520394325256,1722830327.0399408,0.14221565425395966,{'runtime': 39},0.0,0.9311500191688538,0.24376648664474487,0.963100016117096,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,1250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__corelnet_train_size=1750__2024_08_04_23_58_02,0.9453999996185304,26.312888622283936,0.4559321403503418,1722830308.9406176,0.36900338530540466,{'runtime': 25},0.0,0.9588000178337096,0.25720781087875366,0.9562000036239624,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,1750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
1task_match_patt__abstractor_train_size=25000__2024_08_04_23_57_55,0.9193999767303468,69.03979015350342,0.1889614462852478,1722830344.606718,0.1924193799495697,{'runtime': 67},0.0,0.8822000026702881,0.2721574306488037,0.9251999855041504,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,25000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
same__predinet_train_size=2500__2024_08_04_23_57_47,0.975350022315979,29.99330472946167,0.10235784202814102,1722830297.6414597,0.0918879508972168,{'runtime': 28},0.0,0.962149977684021,0.1626715213060379,0.9803000092506408,,,,,,same,,,,,,376690,,,,,5000,,,predinet,2500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
same__corelnet_train_size=1500__2024_08_04_23_57_33,0.9276999831199646,25.93345856666565,0.9543681740760804,1722830279.8203435,0.560590922832489,{'runtime': 24},0.0,0.9484500288963318,0.4537287950515747,0.9571999907493592,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,1500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__abstractor_train_size=1000__2024_08_04_23_57_19,0.934249997138977,40.48496961593628,0.5048038363456726,1722830279.7474127,0.4601053595542908,{'runtime': 39},0.0,0.8896999955177307,0.9339868426322936,0.939300000667572,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,1000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__predinet_train_size=2250__2024_08_04_23_57_12,0.9810500144958496,30.520585536956787,0.06841272115707397,1722830263.4258566,0.06274071335792542,{'runtime': 29},0.0,0.9502000212669371,0.17129851877689362,0.9861000180244446,,,,,,same,,,,,,376690,,,,,5000,,,predinet,2250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
same__corelnet_train_size=1250__2024_08_04_23_57_05,0.9043499827384948,25.727215051651,0.5011109113693237,1722830250.964529,0.34809550642967224,{'runtime': 24},0.0,0.8988000154495239,0.30280986428260803,0.9332000017166138,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,1250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__predinet_train_size=2000__2024_08_04_23_56_38,0.9380000233650208,29.46930766105652,0.22685976326465607,1722830227.6519067,0.1566612720489502,{'runtime': 28},0.0,0.8320500254631042,0.7408673167228699,0.9589999914169312,,,,,,same,,,,,,376690,,,,,5000,,,predinet,2000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
1task_match_patt__abstractor_train_size=22500__2024_08_04_23_56_34,0.9923999905586244,76.29323720932007,0.02645252645015717,1722830271.132301,0.06383755058050156,{'runtime': 75},0.0,0.971650004386902,0.0972236543893814,0.9854999780654908,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,22500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
same__corelnet_train_size=1000__2024_08_04_23_56_34,0.9190000295639038,25.713791131973267,0.8538536429405212,1722830220.1785722,0.5777252912521362,{'runtime': 24},0.0,0.9139999747276306,0.9322205185890198,0.9397000074386596,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,1000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__abstractor_train_size=750__2024_08_04_23_56_31,0.9416999816894532,44.19138789176941,0.4644664525985718,1722830236.034814,0.34242936968803406,{'runtime': 42},0.0,0.944599986076355,0.442981481552124,0.9534000158309937,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__predinet_train_size=1750__2024_08_04_23_56_02,0.9556999802589417,30.07336711883545,0.1400855928659439,1722830192.506308,0.0882268026471138,{'runtime': 29},0.0,0.921750009059906,0.2577678859233856,0.975000023841858,,,,,,same,,,,,,376690,,,,,5000,,,predinet,1750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
same__corelnet_train_size=750__2024_08_04_23_55_59,0.9160500168800354,29.219268560409542,0.655873715877533,1722830188.6047215,0.6114349365234375,{'runtime': 28},0.0,0.91525000333786,0.3785247206687927,0.925599992275238,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__abstractor_train_size=500__2024_08_04_23_55_45,0.8303999900817871,41.90595269203186,1.0837329626083374,1722830187.0113466,0.8785734176635742,{'runtime': 40},0.0,0.7574999928474426,1.744489073753357,0.8561000227928162,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__predinet_train_size=1500__2024_08_04_23_55_25,0.9231500029563904,33.29574155807495,0.4264882802963257,1722830159.0210876,0.23526577651500705,{'runtime': 32},0.0,0.8881000280380249,0.6668281555175781,0.953499972820282,,,,,,same,,,,,,376690,,,,,5000,,,predinet,1500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
same__corelnet_train_size=500__2024_08_04_23_55_24,0.765999972820282,30.04067587852478,3.241391897201538,1722830154.785673,3.4580297470092773,{'runtime': 28},0.0,0.7706500291824341,2.497381687164306,0.7864999771118164,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
1task_match_patt__abstractor_train_size=20000__2024_08_04_23_55_07,0.9366000294685364,81.03616118431091,0.16188257932662964,1722830188.4584973,0.173653706908226,{'runtime': 79},0.0,0.8923500180244446,0.26787784695625305,0.9377999901771544,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,20000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
same__predinet_train_size=1250__2024_08_04_23_54_48,0.937749981880188,33.73602771759033,0.25953227281570435,1722830122.7510366,0.1558309644460678,{'runtime': 32},0.0,0.8989999890327454,0.5422444939613342,0.9599000215530396,,,,,,same,,,,,,376690,,,,,5000,,,predinet,1250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
same__abstractor_train_size=250__2024_08_04_23_54_49,0.7289999723434448,48.04743671417236,2.6010138988494873,1722830138.8716018,2.9293599128723145,{'runtime': 47},0.0,0.6342499852180481,3.446410655975342,0.7531999945640564,,,,,,same,,,,,,469986,,,,,5000,,,abstractor,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,same__abstractor,,abstractor
same__corelnet_train_size=250__2024_08_04_23_54_41,0.7597000002861023,39.05070471763611,6.146529674530029,1722830121.9238975,4.934792995452881,{'runtime': 38},0.0,0.7077000141143799,5.275613307952881,0.8087000250816345,,,,,,same,,,,,,215522,,,,,5000,,,corelnet,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,same__corelnet,,corelnet
same__predinet_train_size=1000__2024_08_04_23_54_10,0.930400013923645,34.62544298171997,0.3094915747642517,1722830084.761718,0.24248269200325012,{'runtime': 33},0.0,0.871999979019165,0.6693023443222046,0.946399986743927,,,,,,same,,,,,,376690,,,,,5000,,,predinet,1000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
1task_match_patt__abstractor_train_size=17500__2024_08_04_23_53_55,0.9440500140190125,66.6350371837616,0.14909745752811432,1722830102.024665,0.13292494416236875,{'runtime': 65},0.0,0.8680499792098999,0.3726349472999573,0.9517999887466432,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,17500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
1task_match_patt__predinet_train_size=25000__2024_08_04_23_53_54,0.6457499861717224,42.450977087020874,0.6339858770370483,1722830077.266376,0.5860465168952942,{'runtime': 41},0.0,0.6241499781608582,0.7204539775848389,0.6793000102043152,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,25000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
1task_match_patt__corelnet_train_size=25000__2024_08_04_23_53_46,0.9520999789237976,38.047757387161255,0.20651938021183017,1722830064.6998603,0.0779307633638382,{'runtime': 36},0.0,0.8898000121116638,0.4174414575099945,0.9850999712944032,,,,,,1task_match_patt,,,,,,215522,,,,,5000,,,corelnet,25000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_match_patt__corelnet,,corelnet
same__predinet_train_size=750__2024_08_04_23_53_25,0.9142500162124634,40.27980613708496,0.36472171545028687,1722830045.8103762,0.28193995356559753,{'runtime': 38},0.0,0.8730000257492065,0.5968369245529175,0.9305999875068665,,,,,,same,,,,,,376690,,,,,5000,,,predinet,750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
1task_match_patt__predinet_train_size=22500__2024_08_04_23_53_10,0.6452999711036682,41.1225905418396,0.6328954100608826,1722830031.2290134,0.6262138485908508,{'runtime': 40},0.0,0.6194000244140625,0.6845064759254456,0.645799994468689,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,22500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
1task_match_patt__corelnet_train_size=22500__2024_08_04_23_53_05,0.9526500105857848,36.923742055892944,0.20487402379512787,1722830022.824551,0.09468577057123184,{'runtime': 35},0.0,0.8985000252723694,0.31916630268096924,0.9829000234603882,,,,,,1task_match_patt,,,,,,215522,,,,,5000,,,corelnet,22500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_match_patt__corelnet,,corelnet
1task_match_patt__abstractor_train_size=15000__2024_08_04_23_52_47,0.9850500226020812,63.320838928222656,0.046631358563899994,1722830030.7051308,0.061055175960063934,{'runtime': 62},0.0,0.9398999810218812,0.18628358840942383,0.9860000014305116,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,15000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
same__predinet_train_size=500__2024_08_04_23_52_44,0.7731000185012817,35.67808771133423,1.252641201019287,1722830000.8006997,1.110611081123352,{'runtime': 34},0.0,0.7361500263214111,1.43980073928833,0.7878999710083008,,,,,,same,,,,,,376690,,,,,5000,,,predinet,500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
1task_match_patt__predinet_train_size=20000__2024_08_04_23_52_25,0.6466000080108643,40.329126834869385,0.6440252661705017,1722829985.6522708,0.6058275103569031,{'runtime': 39},0.0,0.6070500016212463,0.776691734790802,0.6657999753952026,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,20000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
1task_match_patt__corelnet_train_size=20000__2024_08_04_23_52_22,0.95455002784729,36.48647856712341,0.1840325891971588,1722829978.6718245,0.09622762352228165,{'runtime': 35},0.0,0.914650022983551,0.31949150562286377,0.9804999828338624,,,,,,1task_match_patt,,,,,,215522,,,,,5000,,,corelnet,20000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_match_patt__corelnet,,corelnet
same__predinet_train_size=250__2024_08_04_23_51_58,0.6204500198364258,39.97939229011536,2.9708242416381836,1722829959.9957724,2.5977530479431152,{'runtime': 39},0.0,0.6003000140190125,2.895263433456421,0.6531000137329102,,,,,,same,,,,,,376690,,,,,5000,,,predinet,250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,same__predinet,,predinet
1task_match_patt__abstractor_train_size=12500__2024_08_04_23_51_43,0.9754499793052672,59.62466478347778,0.08565742522478104,1722829963.0064898,0.09097594022750854,{'runtime': 58},0.0,0.9560999870300292,0.16577960550785065,0.9811999797821044,,,,,,1task_match_patt,,,,,,469986,,,,,5000,,,abstractor,12500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_match_patt__abstractor,,abstractor
1task_match_patt__corelnet_train_size=17500__2024_08_04_23_51_40,0.9412000179290771,36.3031280040741,0.2612031102180481,1722829936.42767,0.107524573802948,{'runtime': 35},0.0,0.9003499746322632,0.35162001848220825,0.9789999723434448,,,,,,1task_match_patt,,,,,,215522,,,,,5000,,,corelnet,17500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_match_patt__corelnet,,corelnet
1task_match_patt__predinet_train_size=17500__2024_08_04_23_51_38,0.628250002861023,42.04871702194214,0.6727778911590576,1722829940.398482,0.651762068271637,{'runtime': 40},0.0,0.6194499731063843,0.7278797030448914,0.6406000256538391,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,17500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
1task_between__abstractor_train_size=2500__2024_08_04_23_51_05,0.7879199981689453,39.40528106689453,1.2483060359954834,1722829905.392822,1.1275582313537598,{'runtime': 38},0.0,0.7293999791145325,1.6240109205245972,0.8180000185966492,,,,,,1task_between,,,,,,469986,,,,,5000,,,abstractor,2500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,1task_between__abstractor,,abstractor
1task_match_patt__corelnet_train_size=15000__2024_08_04_23_51_01,0.9366499781608582,33.59194207191467,0.2589718997478485,1722829894.984172,0.12267949432134628,{'runtime': 32},0.0,0.8833000063896179,0.3291776180267334,0.973900020122528,,,,,,1task_match_patt,,,,,,215522,,,,,5000,,,corelnet,15000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_match_patt__corelnet,,corelnet
1task_match_patt__predinet_train_size=15000__2024_08_04_23_50_52,0.6136000156402588,41.38184547424317,0.680548369884491,1722829893.9462504,0.6714227795600891,{'runtime': 40},0.0,0.5883499979972839,0.7403662204742432,0.617900013923645,,,,,,1task_match_patt,,,,,,376690,,,,,5000,,,predinet,15000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_match_patt__predinet,,predinet
