name,test/acc_hexos,_runtime,test/loss_hexos,_timestamp,test/loss_in_distribution,_wandb,_step,test/acc_stripes,test/loss_stripes,test/acc_in_distribution,sa_kwargs,d_model,image_shape,ra_type,n_layers,task,bias,norm_first,dff,activation,n_heads_sa,num_params,pool,symbol_retrieval_kwargs,patch_size,num_classes,val_size,ra_kwargs,dropout_rate,baseline_model,train_size,model_config,symbol_retrieval,group,n_heads_ra,model_name
1task_between__corelnet_train_size=500__2024_08_05_01_00_03,0.8396000266075134,30.651424169540405,2.281862258911133,1722834034.3765662,1.960117220878601,{'runtime': 29},0.0,0.8551999926567078,1.4174574613571167,0.863099992275238,,,,,,1task_between,,,,,,215522,,,,,5000,,,corelnet,500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_between__corelnet,,corelnet
xoccurs__abstractor_train_size=1250__2024_08_05_01_00_01,0.6189000010490417,43.02107143402099,3.19311785697937,1722834044.6736825,3.0336196422576904,{'runtime': 41},0.0,0.6553500294685364,3.1265625953674316,0.6351000070571899,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,1250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
1task_between__predinet_train_size=1750__2024_08_05_00_59_42,0.8030200004577637,19.70960831642151,0.8891443610191345,1722834002.2092943,0.7695173025131226,{'runtime': 18},0.0,0.7291799783706665,1.7224562168121338,0.8198999762535095,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,1750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
1task_between__corelnet_train_size=250__2024_08_05_00_59_20,0.7076399922370911,39.1336362361908,6.221484184265137,1722834001.0146663,7.004909515380859,{'runtime': 38},0.0,0.7287600040435791,3.8316781520843506,0.7287999987602234,,,,,,1task_between,,,,,,215522,,,,,5000,,,corelnet,250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,1task_between__corelnet,,corelnet
1task_between__predinet_train_size=1500__2024_08_05_00_59_16,0.7796800136566162,21.95115828514099,0.8948103785514832,1722833978.7563603,0.7638618350028992,{'runtime': 20},0.0,0.6371999979019165,2.3377134799957275,0.8084999918937683,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,1500,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__abstractor_train_size=1000__2024_08_05_00_59_15,0.534850001335144,41.76301288604736,3.867912530899048,1722833997.643359,3.711606979370117,{'runtime': 40},0.0,0.5444499850273132,5.054366588592529,0.5392000079154968,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,1000,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
1task_between__predinet_train_size=1250__2024_08_05_00_58_51,0.6942200064659119,22.28976082801819,1.646902084350586,1722833953.3351138,1.4348498582839966,{'runtime': 21},0.0,0.6166599988937378,3.038363456726074,0.7226999998092651,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,1250,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__corelnet_train_size=2500__2024_08_05_00_58_37,0.874750018119812,27.475151300430294,0.7704595923423767,1722833944.7488072,0.42002955079078674,{'runtime': 26},0.0,0.852150022983551,0.8647621870040894,0.9261999726295472,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,2500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
occurs__abstractor_train_size=2500__2024_08_05_00_58_33,0.9077500104904176,39.905943632125854,0.6065947413444519,1722833953.1512575,0.41397127509117126,{'runtime': 38},0.0,0.8001499772071838,2.2044951915740967,0.9254999756813048,,,,,,occurs,,,,,,469986,,,,,5000,,,abstractor,2500,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,occurs__abstractor,,abstractor
xoccurs__abstractor_train_size=750__2024_08_05_00_58_25,0.5236499905586243,46.45869421958923,4.682138919830322,1722833951.614514,4.395217418670654,{'runtime': 45},0.0,0.5242000222206116,4.487360000610352,0.5353999733924866,,,,,,xoccurs,,,,,,469986,,,,,5000,,,abstractor,750,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2, 'abstractor_kwargs': {'dff': 256, 'max_len': 9, 'n_heads': 4, 'n_layers': 2, 'activation': 'relu', 'norm_first': True, 'dropout_rate': 0, 'use_self_attn': True, 'symbol_retriever_type': 'positional', 'symbol_retriever_kwargs': {'max_length': 9, 'symbol_dim': 128}, 'symbol_add_pos_embedding': False}}",,xoccurs__abstractor,,abstractor
1task_between__predinet_train_size=1000__2024_08_05_00_58_24,0.6928399801254272,22.228612899780273,1.8728679418563845,1722833926.370173,1.6223064661026,{'runtime': 21},0.0,0.5699800252914429,4.058828353881836,0.7124999761581421,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,1000,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
xoccurs__corelnet_train_size=2250__2024_08_05_00_58_06,0.8529499769210815,27.856037378311157,0.8706128001213074,1722833914.2273254,0.5585366487503052,{'runtime': 26},0.0,0.8076500296592712,1.1929110288619995,0.8989999890327454,,,,,,xoccurs,,,,,,215522,,,,,5000,,,corelnet,2250,"{'d_model': 128, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'num_classes': 2}",,xoccurs__corelnet,,corelnet
1task_between__predinet_train_size=750__2024_08_05_00_57_56,0.638480007648468,23.62611150741577,2.1405742168426514,1722833899.8561876,1.848769187927246,{'runtime': 22},0.0,0.5923600196838379,2.881371021270752,0.6650000214576721,,,,,,1task_between,,,,,,376690,,,,,5000,,,predinet,750,"{'d_model': 128, 'n_heads': 16, 'n_classes': 2, 'patch_size': [12, 12], 'image_shape': [3, 36, 36], 'n_relations': 8}",,1task_between__predinet,,predinet
