group,name,_runtime,test/loss_hexos,test/acc_in_distribution,_timestamp,test/acc_hexos,_step,_wandb,test/acc_stripes,test/loss_in_distribution,test/loss_stripes,d_model,n_layers,symbol_retrieval,n_heads_rca,n_heads_sa,rca_type,rca_kwargs.symmetric_rels,n_heads,task,train_size,model_name
same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,same__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2500__2024_05_09_21_04_46,104.4680871963501,0.5858094692230225,0.9311000108718872,1715303190.9508471,0.9073500037193298,0.0,{'runtime': 102},0.9013500213623048,0.4135857820510864,0.4386557042598725,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,same,2500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
xoccurs__sa=2; d=128; L=2,xoccurs__sa=2; d=128; L=2_train_size=250__2024_05_09_21_04_41,68.7975742816925,5.042905330657959,0.508400022983551,1715303150.2470322,0.5094500184059143,0.0,{'runtime': 67},0.5109999775886536,5.232796669006348,4.525927543640137,128,2,,,,,,2.0,xoccurs,250,sa=2; d=128; L=2
1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_between__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=500__2024_05_09_21_04_27,83.81778168678284,2.0722031593322754,0.7560999989509583,1715303151.2602236,0.748420000076294,0.0,{'runtime': 81},0.649619996547699,1.9144020080566408,3.535454034805298,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_between,500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
occurs__sa=2; d=128; L=2,occurs__sa=2; d=128; L=2_train_size=1750__2024_05_09_21_04_20,69.98788785934448,1.2273688316345217,0.7685999870300293,1715303130.33487,0.7455499768257141,0.0,{'runtime': 68},0.6963499784469604,1.031037211418152,1.9199681282043457,128,2,,,,,,2.0,occurs,1750,sa=2; d=128; L=2
1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,1task_match_patt__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=20000__2024_05_09_21_04_08,144.02116918563843,1.1943715810775757,0.8917999863624573,1715303192.0738013,0.8141999840736389,0.0,{'runtime': 142},0.6136999726295471,0.5197787284851074,3.393310546875,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,1task_match_patt,20000,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
1task_between__sa=2; d=128; L=2,1task_between__sa=2; d=128; L=2_train_size=2250__2024_05_09_21_04_01,70.79309582710266,0.5515409111976624,0.9107999801635742,1715303111.8895588,0.8956400156021118,0.0,{'runtime': 69},0.8847399950027466,0.4493126571178436,0.6432631015777588,128,2,,,,,,2.0,1task_between,2250,sa=2; d=128; L=2
xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,xoccurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2500__2024_05_09_21_03_59,95.28542900085448,1.0295586585998535,0.8841999769210815,1715303134.614183,0.8343999981880188,0.0,{'runtime': 94},0.7795000076293945,0.6920775771141052,1.374290108680725,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,xoccurs,2500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
same__sa=2; d=128; L=2,same__sa=2; d=128; L=2_train_size=1500__2024_05_09_21_03_43,68.0625512599945,0.5703729391098022,0.9171000123023988,1715303091.8230772,0.9031500220298768,0.0,{'runtime': 66},0.8798999786376953,0.4698123633861542,0.7361901998519897,128,2,,,,,,2.0,same,1500,sa=2; d=128; L=2
xoccurs__sa=2; d=128; L=2,xoccurs__sa=2; d=128; L=2_train_size=2500__2024_05_09_21_03_21,73.55222463607788,2.208005666732788,0.5985999703407288,1715303074.8188407,0.5674999952316284,0.0,{'runtime': 72},0.5854499936103821,2.0412182807922363,1.8997220993041992,128,2,,,,,,2.0,xoccurs,2500,sa=2; d=128; L=2
occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever,occurs__sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever_train_size=2500__2024_05_09_21_03_21,89.03163862228394,1.0338618755340576,0.9158999919891356,1715303090.5115695,0.8882499933242798,0.0,{'runtime': 87},0.8457000255584717,0.7468757033348083,0.7867977023124695,128,2,pos_sym_retriever,1.0,1.0,disentangled_v2,,,occurs,2500,sa=1; rca=1; d=128; L=2; rca_type=disentangled_v2; sym_rel=True; symbol_type=pos_sym_retriever
